article_name,article_content
013.txt,"peugeot deal boost mitsubishi struggling japanese car maker mitsubishi motor struck deal supply french car maker peugeot 30,000 sport utility vehicle ( suv ) . two firm signed memorandum understanding , say expect seal final agreement spring 2005. alliance come badly-needed boost loss-making mitsubishi , several profit warning poor sale . suv built japan using peugeot 's diesel engine sold mainly european market . falling sale left mitsubishi motor underused capacity , production deal peugeot give chance utilise . january , mitsubishi motor issued third profit warning nine month , cut sale forecast year march 2005. sale slid 41 % past year , catalysed revelation company systematically hiding record fault secretly repairing vehicle . result , japanese car maker sought series financial bailouts . last month said looking 540bn yen ( $ 5.2bn ; £2.77bn ) fresh financial backing , half company mitsubishi group . us-german carmaker daimlerchrylser , 30 % shareholder mitsubishi motor , decided april 2004 pump money . deal peugeot celebrated mitsubishi 's newly-appointed chief executive takashi nishioka , took three top boss stood last month shoulder responsibility firm 's trouble . mitsubishi motor forecast net loss 472bn yen current financial year march 2005. last month , signed production agreement japanese rival nissan motor supply 36,000 small car sale japan . making car nissan since 2003 ."
012.txt,"indonesian face fuel price rise indonesia 's government confirmed considering raising fuel price much 30 % . million indonesian use kerosene basic cooking , price heavily subsidised year . president susilo bambang yudhoyono 's government said want curb fuel subsidy direct money aid programme poor . critic argue cutting subsidy hurt poorer family government say want help . million people left homeless indonesia aceh 's region following earthquake tsunami disaster late december . indonesia pay subsidy importer order stabilise domestic fuel price , higher oil price forced government spend holding price . spent 59.2 trillion rupiah ( $ 6.58bn ; £3.5bn ) fuel subsidy 2004 , sum far excess original projection 14.5 trillion rupiah . since president yudhoyono 's government came power october , indicated intention raising domestic fuel price cutting subsidy . `` ( january march ) quarter year best time u increase fuel price , '' said sri mulyani indrawati , state minister national development planning . `` still considering 30 % hike suitable moment . sooner better state budget . '' bbc 's correspondent jakarta , rachel harvey , told world business report likely strong public reaction price rise . `` big question whether go one big , short , sharp shock raise price 20 % 30 % whether try stagger , '' said . indonesia 's previous government , led president megawati sukarnoputri , also attempted cut subsidy 2003 , forced back face public protest ."
014.txt,"telegraph newspaper axe 90 job daily sunday telegraph newspaper axing 90 journalist job - 17 % editorial staff . telegraph group say cut needed fund £150m investment new printing facility . journalist firm met friday afternoon discus react surprise announcement . cut come background fierce competition reader sluggish advertising revenue amid competition online advertising . national union journalist called management recall notice redundancy midday monday face strike ballot . pearson 's financial time said last week offering voluntary redundancy 30 reporter . national union journalist said stood strongly behind journalist rule strike . `` manager torn agreed procedure kicked staff teeth sacking people pay printing facility , '' said jeremy dear , nuj general secretary . nuj official barry fitzpatrick said company ignored 90-day consultation period required company planning 10 redundancy . `` shown complete disregard consultative right member , '' said mr fitzpatrick , added company planned observe consultation procedure . two telegraph title currently employ 521 journalist . broadsheet newspaper - especially moved tabloid format - suffered circulation decline , hitting revenue . telegraph announced plan go tabloid although independent time seen circulation rise since shrinking size . guardian hedging bet , planning larger tabloid format like popular continental europe . telegraph group bought barclay twin - frederick david - last year , previously owned lord conrad black 's hollinger international . brother currently mulling sale another business , retailer littlewoods . telegraph executive murdoch maclennan said two newspaper would add eight colour page coming month . `` journalist lifeblood newspaper , maintaining quality daily telegraph sunday telegraph reader vital , '' said . `` however , action improve production capability secure title competition also vital . '' many newspaper investing new printing machinery enables print colour page , case , colour every page . hoping boosting colour make publication attractive advertiser reader alike . recent month news corp 's news international unit , publishes sun news world , guardian medium group , trinity mirror daily mail & general trust announced substantial investment new printing plant ."
016.txt,"china keep tight rein credit china 's effort stop economy overheating clamping credit continue 2005 , state medium report . curb introduced earlier year ward risk rapid expansion might lead soaring price . also fear much stress might placed fragile banking system . growth china remains breakneck 9.1 % , corporate investment growing 25 % year . breakneck pace economic expansion kept growth 9 % year . rapid tooling-up china 's manufacturing sector mean massive demand energy - one factor kept world oil price sky-high year . theory , government 7 % growth target , continues insist overshoot mean `` hard landing '' shape overbalancing economy . low exchange rate - china 's yuan pegged rate 8.28 dollar , seems relentless decline - mean chinese export cheap world market . china thus far resisted international pressure break link least shift level peg . extent , credit control seem taking effect . industrial output grew 15.7 % year october , 23 % february , inflation slowed 4.3 % - although retail sale still booming ."
015.txt,"air passenger win new eu right air passenger unable board flight overbooking , cancellation flight delay demand greater compensation . new eu rule set compensation 250 euro ( £173 ) 600 euro , depending length flight . new rule apply scheduled charter flight , including budget airline . airline attacked legislation saying could forced push price higher cover extra cost . european commission facing two legal challenge - one european low-fare airline association ( elaa ) international air transport association ( iata ) , attacked package `` bad piece legislation '' . previously , passenger could claim 150 euro 300 euro stopped boarding . however , scheduled flight operator obliged offer compensation case overbooking offer compensation flight cancellation . eu decided increase passenger compensation bid deter airline deliberately overbooking flight . overbooking often lead 'bumping ' - passenger moved later flight . happens passenger 's , airline offer compensation . addition , flight cancelled delayed two hour fault airline , passenger must paid compensation . however , airline offer compensation flight cancelled delayed due `` extraordinary circumstance '' . airline fear `` extraordinary circumstance '' may include bad weather , security alert strike - event outside control . eu-based airline operator flight take eu adhere new compensation regime came force thursday . low-cost airline criticised new compensation level , arguing pay-out could worth ticket . `` 's preposterous piece legislation , among airline fighting , '' ryanair deputy chief executive michael cawley told radio 4 's today programme . european region airline association ( eraa ) claim neither airline consumer consulted change . andy clarke , eraa director air transport , said ec advice misleads customer lead believe airline could liable payouts flight delayed bad weather . ec spokeswoman marja quillinan-meiland conceded `` grey area '' said `` big airline making '' . case dispute , national enforcement body would decide whether passenger case , said . new technology mean easier airline take land bad weather , added . eraa 's mr clarke also warned airline would comply new rule , extra cost would passed onto passenger . `` reckon 's going cost european air passenger - airline , airline money , paid passenger - 1.5bn euro , 's £1bn year loaded onto european passenger , '' mr clarke said . `` 's basically transfer money passenger whose journey disrupted passenger whose journey disrupted . '' wednesday , jacques barrot , vice president european commission also commissioner transport , said change necessary . `` boom air travel need accompanied proper protection passenger ' right . '' `` concrete example union benefit people 's daily life , '' added . ec launched information campaign airport travel agency inform airline passenger new right ."
017.txt,"parmalat boast doubled profit parmalat , italian food group centre one europe 's painful corporate scandal , reported doubling profit . pre-tax earnings fourth quarter 77m euro ( £53m ; $ 100m ) , 38m period 2003. le welcome news firm fined 11m euro violated takeover rule five year ago . firm sought bankruptcy protection december 2003 disclosing 4bn-euro hole account . overall , company 's debt close 12bn euro , falling slowly . brand , well-known italy overseas , continued perform strongly , however , barely lost revenue since scandal broke . crucial factor company 's future legal unwinding intensely complex financial position . tuesday , company 's administrator , turnaround expert enrico bondi , sued morgan stanley , former banker , return 136m euro relating 2003 bond deal . brought 49 number bank mr bondi sued , mass legal action could bring much 3bn euro . company also sued former auditor financial advisor damage . criminal case company 's former management proceeding separately ."
019.txt,"india widens access telecom india raised limit foreign direct investment telecom company 49 % 74 % . communication minister dayanidhi maran said need fund fast-growing mobile market . government hope increase number mobile user 95 million 200 250 million 2007 . `` need least $ 20bn ( £10.6bn ) investment part come foreign direct investment , '' said mr maran . decision raise limit foreign investor faced considerable opposition communist party , give crucial support coalition headed prime minister manmohan singh . potential foreign investor however need government approval increase stake beyond 49 % , mr maran said . key position , chief executive , chief technology officer chief financial officer held indian , added . analyst investor welcomed government decision . `` positive development carrier investment community , looking take longer-term view huge growth indian telecom market , '' said gartner 's principal analyst kobita desai . `` fdi relaxation coupled rapid local market growth could really ignite interest indian telecommunication industry , '' added ernst young 's sanjay mehta . investment bank morgan stanley forecast india 's mobile market likely grow 40 % year 2007. indian mobile market currently dominated four company , bharti televentures allied singapore telecom , essar linked hong kong-based hutchison whampoa , sterling group tata group ."
018.txt,"india 's rupee hit five-year high india 's rupee hit five-year high standard & poor 's ( & p ) raised country 's foreign currency rating . rupee climbed 43.305 per u dollar thursday , close 43.41. currency gained almost 1 % past three session . & p , rate borrower ' creditworthiness , lifted india 's rating one notch 'bb+ ' . indian asset seen le gamble , cash expected flow market , buoying rupee . `` upgrade positive basically people use excuse come back india , '' said bhanu baweja , strategist ubs . `` money moved india first two three week january market like korea thailand upgrade lead reversal . '' india 's foreign currency rating one notch investment grade , start 'bbb- ' . increase put level romania , egypt el salvador , one level russia ."
020.txt,"call centre user 'lose patience ' customer trying get call centre getting impatient quicker hang , survey suggests . past welcome message , caller average hang 65 second listening canned music . drop patience come number call call centre growing rate 20 % every year . `` customer getting used idea 'always available ' society , '' say cara diemont firm dimension data , commissioned survey . however , call centre also saw sharp increase customer simply abandoning call , say , 5 % 2003 record 13.3 % last year . automated phone message system taken equation , customer pick way multiple option message , number abandoned call even higher - sixth caller give rather wait . one possible reason lack patience , m diemont say , fact customer calling 'on move ' using mobile phone . surge customer trying get call centre also reflection centre ' growing range task . `` call centre may looked mortgage , agent may also responsible credit card , insurance current account , '' m diemont say . problem occurring increased responsibility going hand-in-hand training , survey found . dimension data call `` alarming development '' , average induction time call centre worker fell last year 36 21 day , leaving `` agent equipped deal customer '' . , m diemont warns , `` scary '' good bottom line either . poor training frustrates call centre worker customer . result , call centre high `` churn rate '' , nearly quarter worker throwing towel every year , turn force company pay training new staff . resolution rate - number call customer 's query resolved mutual satisfaction - running 50 % . query passed second third person - specialist manager - rate rise 70 % , still well industry target 85 % resolution rate . suggestion `` outsourcing '' - relocating call centre low-cost country like india south africa - blame wrong , m diemont say . `` big difference wait time call resolution '' call centre based europe north america developing country around world . `` make call centre perform anywhere good management right process place , '' say . however , company decide `` offshore '' operation driven cost consideration . 42 % say saving money main consideration closing domestic call centre operation . half argue worker country offer better skill money . everybody belief outsourcing offshoring solution . nearly two-thirds firm polled survey plan offshore call centre . give three key reason making move : - call centre operation part business `` core function '' , - worried risk going abroad , - fear damage brand join offshoring drive . survey conducted sunovate behalf dimension data , based in-depth questionnaire 166 call centre 24 country five continent . experience call centre ? happy listen vivaldi greensleeves , want immediate response ? work call centre : training prepare job ?"
021.txt,"rank 'set sell film unit ' leisure group rank could unveil plan demerge film service unit sell medium business , report claim . rank , formerly famous carry series , expose shake-up announcement result friday , sunday telegraph reported . advisor goldman sachs understood valued demerged deluxe film unit £300m , report added . speculation possible shake-up mounted since rank announced study possible demerger september . since mike smith 's appointment chief executive 1999 , group focused fewer business embarked major cost-cutting programme seen dispose number business , including odeon cinema chain pinewood studio . move left group three core division : gaming , hard rock deluxe film , provides technical service hollywood studio . rank aim concentrate gaming , bar hotel business , including extending hard rock brand casino - trial success . also owns deluxe medium , make distributes dvd video . however , business seen le successful . last year made profit £21.5m turnover £392.1m expert suggest success moving dvd vhs video could make attractive target private equity buyer . spokesman firm refused comment report , said result demerger study likely set unveiled result friday . analyst predict firm likely report slight drop annual pre-tax profit £170m £194m last year . formed 1940s firm leading uk film producer cinema owner many year . diversified range leisure activity - mainly uk - including hotel , roadside service area holiday centre . owns 34 grosvenor casino , mecca bingo chain 100 hard rock cafe 38 country ."
022.txt,"sluggish economy hit german job number people work europe 's largest economy risen tenth straight month growth remains stubbornly slow . german unemployment rose 7,000 november 4.464 million people , 10.8 % workforce . seasonally adjusted rise showed smaller rise expected , government measure encourage job creation began take effect . official said stagnant growth still stifling job market . `` clear sign revival domestic demand , '' said frank-juergen weise , head federal labour agency , statement . `` growth 0.1 % ... third quarter still insufficient deliver positive momentum labour market . '' high oil price soaring euro - damage competitiveness exporter - also negative effect , said . brunt unemployment still felt eastern part germany , rate 18.8 % . unemployment stuck 4 million year , government chancellor gerhard schroeder put job creation top agenda . controversial package measure shake incentive get back work , paid cutting cherished benefit , sparked anger among german worker . strike number industry , notably among country 's iconic carmaker , demonstrated displeasure - well fear job loss outsourcing take hold . among new initiative so-called `` one-euro job '' top unemployment benefit . scheme 's formal launch january , hirings position already taking place affecting unemployment statistic , economist said . `` deterioration labour market come surprise , '' said isabelle kronawitter hypovereinsbank . `` job creation measure probably prevented stronger increase seasonally adjusted number . ''"
023.txt,"mixed signal french economy french economy picked speed end 2004 , official figure show - still look set fallen short government 's hope . according state statistic body insee , growth three month december seasonally-adjusted 0.7-0.8 % , ahead 0.6 % forecast . confirmed , would best quarterly showing since early 2002. leaf gdp 2.3 % full year , short 2.5 % french government predicted . despite apparent shortfall annual economic growth , good quarterly figure - so-called `` flash estimate '' - mark continuing trend improving indicator health french economy . government reiterating 2.5 % target 2005 , european central bank making positive noise 12-nation eurozone whole . also friday , france 's industrial output december released , showing 0.7 % growth . `` number good , '' said david naude , economist deutsche bank . `` send positive signal rebound output ... open way continuation trend new year . '' service sector activity improved january , hitting seven-month high . unemployment remains high 10 % ."
024.txt,"u trade gap hit record 2004 gap u export import hit all-time high $ 671.7bn ( £484bn ) 2004 , latest figure show . commerce department said trade deficit last year 24.4 % previous record - 2003 's imbalance $ 496.5bn . deficit china , 30.5 % $ 162bn , largest ever recorded single country . however , monthly basis u trade gap narrowed 4.9 % december £56.4bn . u consumer 's appetite thing oil imported car , even wine cheese , reached record level last year figure likely spark fresh criticism president bush 's economic policy . democrat claim administration done enough clamp unfair foreign trade practice . example , believe china 's currency policy - u manufacturer claim undervalued yuan much 40 % - given china 's rapidly expanding economy unfair advantage u competitor . meanwhile , bush administration argues u deficit reflects fact america growing faster rate rest world , spurring demand imported good . economist say may allow upward revision u economic growth fourth quarter . others point deficit reached astronomical proportion foreigner many choose hold many dollar-denominated asset , may turn harm growth . 2004 , u export rose 12.3 % $ 1.15 trillion , import rose even faster 16.3 % new record $ 1.76 trillion . foreign oil export surged 35.7 % record $ 180.7bn , reflecting rally global oil price increasing domestic demand . import affected dollar 's weakness last year . `` expect deficit continue widen 2005 even dollar get back downward trend , '' said economist marie-pierre ripert ixis ."
025.txt,"yukos loses u bankruptcy battle judge dismissed attempt russian oil giant yukos gain bankruptcy protection u . yukos filed chapter 11 protection houston unsuccessful attempt halt auction yugansk division russian authority . court ruling blow effort get damage sale yugansk , yukos claim illegally sold . separately , former yukos bos mikhail khodorkovsky began testimony friday trial fraud tax evasion . mr khodorkovsky - jail year - pleaded guilty charge brought denied involvement criminal activity . `` pride heading 15 year number successful company helping enterprise rise knee , '' told russian court . yugansk auctioned help pay $ 27.5bn ( £14.5bn ) unpaid tax . bought $ 9.4bn previously-unknown group , turn bought almost immediately state-controlled oil company rosneft . texas judge letitia clark said yukos enough u presence establish u jurisdiction . `` vast majority business financial activity yukos continue occur russia , '' judge clark said ruling . `` activity require continued participation russian government . '' yukos argued u court entitled declare bankrupt yugansk unit sold , since local bank account chief finance officer bruce misamore life houston . yukos claimed sought help u forum - russian court european court human right - either unfriendly offered le protection . russia indicated would case abide ruling u court . ruling , judge acknowledged `` appears likely agency russian government acted manner would considered confiscatory united state law '' . said role simply decide jurisdiction . u court 's jurisdiction challenged deutsche bank gazpromneft , former unit russian gas monopoly gazprom due merge rosneft . analyst said ability gazprom rosneft trade freely overseas stifled ownership yugansk remained unclear . yukos said would consider option light ruling . however , claimed court backed argument four five key issue . `` believe merit case strong simple , '' said chief executive steven theede . `` asset illegally seized . want back damage paid . ''"
026.txt,"safety alert gm recall car world 's biggest carmaker general motor ( gm ) recalling nearly 200,000 vehicle u safety ground , according federal regulator . national highway traffic safety administration ( nhtsa ) said largest recall involves 155,465 pickup , van sport utility vehicle ( suv ) . possible malfunction braking system . affected vehicle product recall 2004 2005 model year , gm said . vehicle potential fault chevrolet avalanche , express , kodiak , silverade suburban ; gmc savana , sierra yukon . nhtsa said pressure accumulator braking system could crack normal driving fragment could injure people hood open . could allow hydraulic fluid leak , could make harder brake steer could cause crash , warned . gm also recalling 19,924 cadillac xlr coupe , srx suv pontiac grand prix sedan 2004 model year . accelerator pedal may work properly extremely cold temperature , requiring braking . addition , car giant calling back 17,815 buick ranier , chevrolet trailblazer , gmc envoy isuzu ascender 2005 model year windshield properly fitted could fall crash . however , gm stressed know injury related problem . news recall follows announcement last month gm expects earnings year lower 2004. world 's biggest car maker grappling loss european business , weak u sale product recall . january , gm said higher healthcare cost north america , lower profit financial service subsidiary would hurt performance 2005 ."
027.txt,"steel firm 'to cut ' 45,000 job mittal steel , one world 's largest steel producer , could cut 45,000 job next five year , chief executive said . netherlands-based company due complete $ 4.5bn acquisition u firm isg next month , making one largest global firm kind . however , lakshmi mittal told investor combined company shed thousand job . indian-born magnate say job loss would fall . mr mittal told u investor acquisition international steel group completed , company would aim reduce workforce 7,000 8,000 annually . could see workforce trimmed 155,000 110,000 staff 2010 . `` investing modernisation employee go , '' mr mittal told conference chicago . mittal steel formed last year mr mittal 's lnm holding merged dutch firm ispat . combination mittal steel isg would annual sale $ 32bn ( £16.7bn ; 24.1bn euro ) production capacity 70 million tonne . mittal steel spokeman said decision job cut made yet . `` trying create sustainable steel industry want , invest new technology , '' spokesman said . mittal steel operation 14 country . many business - particularly eastern europe - previously state owned huge workforce . employ 50,000 staff kazakhstan alone , large operation romania , czech republic , south africa united state ."
028.txt,"strong demand trigger oil rally crude oil price surged back $ 47 barrel mark thursday energy market watchdog raised forecast global demand . international energy agency ( iea ) warned demand opec 's crude first quarter would outstrip supply . iea raised estimate 2005 oil demand growth 80,000 barrel day 84 million barrel day . u light crude rose $ 1.64 $ 47.10 , brent crude london gained $ 1.32 $ 44.45 . paris-based iea watchdog , advises industrialized nation energy policy , said upward revision due stronger demand china asian country . fresh rally crude price followed gain wednesday triggered large fall u crude supply following cold spell north america january . u department energy reported crude stockpile fallen 1m barrel 294.3m . top , ongoing problem beleaguered russian oil giant yukos also prompted iea revise output estimate russia - major non-opec supplier . `` think price beginning set new range look like $ 40 $ 50 level , '' said energy analyst orin middleton barclays capital ."
030.txt,"soaring oil 'hits world economy ' soaring cost oil hit global economic growth , although world 's major economy weather storm price rise , according oecd . latest bi-annual report , oecd cut growth prediction world 's main industrialised region . u growth would reach 4.4 % 2004 , fall 3.3 % next year previous estimate 3.7 % , oecd said . however , paris-based economics think tank said believed global economy could still regain momentum . forecast japanese growth also scaled back 4.0 % 4.4 % year 2.1 % 2.8 % 2005. outlook worst 12-member eurozone bloc , already sluggish growth forecast slipping 1.8 % 2.0 % year 1.9 % 2.4 % 2005 , oecd said . overall , report forecast total growth 3.6 % 2004 30 member country oecd , slipping 2.9 % next year recovering 3.1 % 2006 . `` nonetheless good reason believe despite recent oil price turbulence world economy regain momentum not-too-distant future , '' said jean-philippe cotis , oecd 's chief economist . price crude 50 % higher start 2004 , record high $ 55.67 set late october . dip oil price improving job prospect would improve consumer confidence spending , oecd said . `` oil shock enormous historical standard - seen worse seventy . oil price rise , think shock absorbed within next quarter , '' vincent koen , senior economist oecd , told bbc 's world business report . `` recovery underway , interrupted bit oil shock year , would regain momentum course 2005 . '' china 's booming economy `` spectacular comeback '' japan - albeit one faltered recent month - would help world economic recovery , oecd said . `` supported strong balance sheet high profit , recovery business investment continue north america start earnest europe , '' added . however , report warned : `` remains seen whether continental europe play strong supportive role marked upswing final domestic demand . '' oecd highlighted current depressed household expenditure germany eurozone 's over-reliance export-led growth ."
